
model,link,test_size,accuracy_with_pdr_and_rssi,accuracy_with_pdr,accuracy_with_rssi
LogReg,2===3,0.25,0.0,0.0,-1
LSVM,2===3,0.25,0.0,0.11428571428571428,-1
SVM,2===3,0.25,1.0,1.0,-1
RF,2===3,0.25,1.0,1.0,-1
LogReg,2===32,0.25,0.05263157894736842,0.5925925925925926,-1
LSVM,2===32,0.25,0.05263157894736842,1.0,-1
SVM,2===32,0.25,1.0,1.0,-1
RF,2===32,0.25,1.0,1.0,-1
LogReg,3===27,0.25,0.0,0.0,-1
LSVM,3===27,0.25,1.0,0.37572254335260113,-1
SVM,3===27,0.25,1.0,0.976878612716763,-1
RF,3===27,0.25,0.9304347826086956,1.0,-1
LogReg,3===15,0.25,0.0,0.18181818181818182,-1
LSVM,3===15,0.25,1.0,0.9090909090909091,-1
SVM,3===15,0.25,1.0,0.9772727272727273,-1
RF,3===15,0.25,1.0,1.0,-1
LogReg,3===24,0.25,-1,-1,-1
LSVM,3===24,0.25,-1,-1,-1
SVM,3===24,0.25,-1,-1,-1
RF,3===24,0.25,-1,-1,-1
LogReg,3===9,0.25,0.0,1.0,-1
LSVM,3===9,0.25,1.0,1.0,-1
SVM,3===9,0.25,1.0,1.0,-1
RF,3===9,0.25,0.8870967741935484,1.0,-1
LogReg,3===4,0.25,0.0,0.0,-1
LSVM,3===4,0.25,1.0,0.0,-1
SVM,3===4,0.25,0.941747572815534,1.0,-1
RF,3===4,0.25,0.9805825242718447,1.0,-1
LogReg,3===32,0.25,-1,-1,1.0
LSVM,3===32,0.25,-1,-1,0.0
SVM,3===32,0.25,-1,-1,1.0
RF,3===32,0.25,-1,-1,1.0
LogReg,3===2,0.25,0.41904761904761906,0.05732484076433121,-1
LSVM,3===2,0.25,1.0,0.445859872611465,-1
SVM,3===2,0.25,1.0,0.9171974522292994,-1
RF,3===2,0.25,1.0,1.0,-1
LogReg,3===23,0.25,0.5869565217391305,0.927536231884058,-1
LSVM,3===23,0.25,0.5217391304347826,1.0,-1
SVM,3===23,0.25,0.8913043478260869,1.0,-1
RF,3===23,0.25,0.9782608695652174,1.0,-1
LogReg,4===24,0.25,0.0,0.9918032786885246,-1
LSVM,4===24,0.25,0.0,1.0,-1
SVM,4===24,0.25,0.9918032786885246,1.0,-1
RF,4===24,0.25,0.9672131147540983,1.0,-1
LogReg,4===3,0.25,0.0,0.0196078431372549,-1
LSVM,4===3,0.25,1.0,0.24183006535947713,-1
SVM,4===3,0.25,0.9705882352941176,1.0,-1
RF,4===3,0.25,0.7549019607843137,1.0,-1
LogReg,4===9,0.25,-1,-1,-1
LSVM,4===9,0.25,-1,-1,-1
SVM,4===9,0.25,-1,-1,-1
RF,4===9,0.25,-1,-1,-1
LogReg,4===32,0.25,-1,-1,-1
LSVM,4===32,0.25,-1,-1,-1
SVM,4===32,0.25,-1,-1,-1
RF,4===32,0.25,-1,-1,-1
LogReg,4===23,0.25,-1,-1,0.0
LSVM,4===23,0.25,-1,-1,1.0
SVM,4===23,0.25,-1,-1,0.9824561403508771
RF,4===23,0.25,-1,-1,1.0
LogReg,5===46,0.25,0.0,1.0,0.0
LSVM,5===46,0.25,0.0,1.0,0.0
SVM,5===46,0.25,0.9621212121212122,1.0,1.0
RF,5===46,0.25,0.8863636363636364,1.0,1.0
LogReg,5===47,0.25,0.0,0.9754098360655737,-1
LSVM,5===47,0.25,0.0,1.0,-1
SVM,5===47,0.25,0.9590163934426229,1.0,-1
RF,5===47,0.25,0.9590163934426229,1.0,-1
LogReg,5===30,0.25,0.21818181818181817,0.7413793103448276,-1
LSVM,5===30,0.25,0.21818181818181817,1.0,-1
SVM,5===30,0.25,1.0,1.0,-1
RF,5===30,0.25,1.0,0.9655172413793104,-1
LogReg,5===26,0.25,0.0,1.0,-1
LSVM,5===26,0.25,0.0,1.0,-1
SVM,5===26,0.25,1.0,1.0,-1
RF,5===26,0.25,0.9649122807017544,1.0,-1
LogReg,5===22,0.25,0.0,0.04878048780487805,-1
LSVM,5===22,0.25,1.0,0.23577235772357724,-1
SVM,5===22,0.25,1.0,1.0,-1
RF,5===22,0.25,1.0,1.0,-1
LogReg,5===6,0.25,0.3225806451612903,0.07042253521126761,-1
LSVM,5===6,0.25,0.3225806451612903,0.647887323943662,-1
SVM,5===6,0.25,0.9032258064516129,0.8309859154929577,-1
RF,5===6,0.25,0.9032258064516129,1.0,-1
LogReg,5===19,0.25,0.1487603305785124,1.0,0.8620689655172413
LSVM,5===19,0.25,0.0,1.0,0.7241379310344828
SVM,5===19,0.25,1.0,1.0,1.0
RF,5===19,0.25,0.9834710743801653,1.0,1.0
LogReg,5===21,0.25,0.0,0.8666666666666667,-1
LSVM,5===21,0.25,0.0,0.8888888888888888,-1
SVM,5===21,0.25,1.0,0.9111111111111111,-1
RF,5===21,0.25,1.0,1.0,-1
LogReg,5===40,0.25,0.0,1.0,0.0
LSVM,5===40,0.25,0.0,1.0,0.0
SVM,5===40,0.25,1.0,1.0,1.0
RF,5===40,0.25,1.0,1.0,1.0
LogReg,5===31,0.25,-1,-1,-1
LSVM,5===31,0.25,-1,-1,-1
SVM,5===31,0.25,-1,-1,-1
RF,5===31,0.25,-1,-1,-1
LogReg,5===45,0.25,0.0,0.0,-1
LSVM,5===45,0.25,1.0,0.0,-1
SVM,5===45,0.25,1.0,0.9285714285714286,-1
RF,5===45,0.25,1.0,1.0,-1
LogReg,5===44,0.25,0.0,0.0,-1
LSVM,5===44,0.25,0.0,0.08955223880597014,-1
SVM,5===44,0.25,1.0,1.0,-1
RF,5===44,0.25,0.8731343283582089,1.0,-1
LogReg,5===41,0.25,0.7109375,0.0,-1
LSVM,5===41,0.25,0.0,0.3333333333333333,-1
SVM,5===41,0.25,1.0,1.0,-1
RF,5===41,0.25,1.0,1.0,-1
LogReg,5===16,0.25,-1,-1,-1
LSVM,5===16,0.25,-1,-1,-1
SVM,5===16,0.25,-1,-1,-1
RF,5===16,0.25,-1,-1,-1
LogReg,5===1,0.25,0.0,0.0,-1
LSVM,5===1,0.25,0.0,0.0,-1
SVM,5===1,0.25,1.0,0.8859649122807017,-1
RF,5===1,0.25,1.0,1.0,-1
LogReg,5===11,0.25,0.16216216216216217,0.4774774774774775,-1
LSVM,5===11,0.25,0.16216216216216217,0.7477477477477478,-1
SVM,5===11,0.25,0.7702702702702703,0.9009009009009009,-1
RF,5===11,0.25,0.6081081081081081,1.0,-1
LogReg,5===34,0.25,0.5035971223021583,1.0,0.009259259259259259
LSVM,5===34,0.25,1.0,1.0,1.0
SVM,5===34,0.25,0.9568345323741008,1.0,0.9629629629629629
RF,5===34,0.25,0.9784172661870504,1.0,1.0
LogReg,6===46,0.25,0.0,0.0,-1
LSVM,6===46,0.25,0.0,0.0,-1
SVM,6===46,0.25,1.0,0.32075471698113206,-1
RF,6===46,0.25,1.0,1.0,-1
LogReg,6===47,0.25,-1,-1,-1
LSVM,6===47,0.25,-1,-1,-1
SVM,6===47,0.25,-1,-1,-1
RF,6===47,0.25,-1,-1,-1
LogReg,6===5,0.25,0.0,0.14893617021276595,-1
LSVM,6===5,0.25,1.0,0.2765957446808511,-1
SVM,6===5,0.25,0.9680851063829787,0.8723404255319149,-1
RF,6===5,0.25,0.9787234042553191,1.0,-1
LogReg,6===30,0.25,0.0,0.4444444444444444,-1
LSVM,6===30,0.25,1.0,0.6825396825396826,-1
SVM,6===30,0.25,1.0,0.8888888888888888,-1
RF,6===30,0.25,1.0,1.0,-1
