
model,link,test_size,accuracy_with_pdr_and_rssi,accuracy_with_pdr,accuracy_with_rssi
RF,2===22,0.25,1.0,0.9583333333333334,1.0
LogReg,2===21,0.25,1.0,1.0,1.0
LSVM,2===21,0.25,1.0,1.0,1.0
SVM,2===21,0.25,1.0,1.0,1.0
RF,2===21,0.25,1.0,1.0,1.0
LogReg,2===27,0.25,1.0,1.0,1.0
LSVM,2===27,0.25,1.0,1.0,1.0
SVM,2===27,0.25,1.0,1.0,1.0
RF,2===27,0.25,1.0,1.0,1.0
LogReg,2===15,0.25,1.0,1.0,1.0
LSVM,2===15,0.25,1.0,1.0,1.0
SVM,2===15,0.25,1.0,1.0,1.0
RF,2===15,0.25,1.0,1.0,1.0
LogReg,2===24,0.25,1.0,1.0,0.8780487804878049
LSVM,2===24,0.25,1.0,1.0,0.9024390243902439
SVM,2===24,0.25,1.0,1.0,1.0
RF,2===24,0.25,1.0,1.0,1.0
LogReg,2===3,0.25,0.9390243902439024,0.9651162790697675,1.0
LSVM,2===3,0.25,0.975609756097561,0.9418604651162791,1.0
SVM,2===3,0.25,1.0,0.9534883720930233,1.0
RF,2===3,0.25,0.9878048780487805,1.0,1.0
LogReg,2===32,0.25,0.6842105263157895,0.6956521739130435,1.0
LSVM,2===32,0.25,0.7894736842105263,0.8695652173913043,1.0
SVM,2===32,0.25,1.0,0.6956521739130435,1.0
RF,2===32,0.25,1.0,1.0,1.0
LogReg,3===27,0.25,0.8987341772151899,0.8780487804878049,1.0
LSVM,3===27,0.25,0.8860759493670886,0.9878048780487805,1.0
SVM,3===27,0.25,0.9746835443037974,0.9634146341463414,1.0
RF,3===27,0.25,0.9873417721518988,1.0,1.0
LogReg,3===15,0.25,0.725,0.7045454545454546,1.0
LSVM,3===15,0.25,0.85,0.8409090909090909,1.0
SVM,3===15,0.25,0.975,0.5681818181818182,1.0
RF,3===15,0.25,1.0,0.9772727272727273,1.0
LogReg,3===24,0.25,1.0,1.0,1.0
LSVM,3===24,0.25,1.0,1.0,1.0
SVM,3===24,0.25,1.0,1.0,1.0
RF,3===24,0.25,1.0,1.0,1.0
LogReg,3===9,0.25,1.0,1.0,1.0
LSVM,3===9,0.25,1.0,1.0,1.0
SVM,3===9,0.25,1.0,1.0,1.0
RF,3===9,0.25,1.0,1.0,1.0
LogReg,3===4,0.25,0.8181818181818182,0.8571428571428571,1.0
LSVM,3===4,0.25,0.8311688311688312,1.0,1.0
SVM,3===4,0.25,0.974025974025974,0.8701298701298701,1.0
RF,3===4,0.25,1.0,1.0,1.0
LogReg,3===32,0.25,1.0,1.0,0.9404761904761905
LSVM,3===32,0.25,1.0,1.0,0.9642857142857143
SVM,3===32,0.25,1.0,1.0,1.0
RF,3===32,0.25,1.0,1.0,1.0
LogReg,3===2,0.25,1.0,0.8658536585365854,1.0
LSVM,3===2,0.25,1.0,0.9878048780487805,1.0
SVM,3===2,0.25,1.0,0.975609756097561,1.0
RF,3===2,0.25,1.0,1.0,1.0
LogReg,3===23,0.25,0.9215686274509803,0.8823529411764706,1.0
