
model,link,test_size,accuracy_with_pdr_and_rssi,accuracy_with_pdr,accuracy_with_rssi
RF,2===24,0.25,1.0,1.0,1.0
LogReg,2===3,0.25,0.9743589743589743,0.9459459459459459,1.0
LSVM,2===3,0.25,0.9615384615384616,0.9594594594594594,1.0
SVM,2===3,0.25,0.9743589743589743,0.9459459459459459,1.0
RF,2===3,0.25,1.0,1.0,1.0
LogReg,2===32,0.25,1.0,1.0,1.0
LSVM,2===32,0.25,1.0,1.0,1.0
SVM,2===32,0.25,1.0,1.0,1.0
RF,2===32,0.25,1.0,1.0,1.0
LogReg,3===27,0.25,0.8947368421052632,0.9166666666666666,1.0
LSVM,3===27,0.25,0.9078947368421053,0.9722222222222222,1.0
SVM,3===27,0.25,0.9473684210526315,0.9444444444444444,1.0
RF,3===27,0.25,0.9868421052631579,0.9722222222222222,1.0
LogReg,3===15,0.25,0.90625,0.6428571428571429,1.0
LSVM,3===15,0.25,0.9375,0.7857142857142857,1.0
SVM,3===15,0.25,0.84375,0.8928571428571429,1.0
RF,3===15,0.25,1.0,1.0,1.0
LogReg,3===24,0.25,1.0,1.0,1.0
LSVM,3===24,0.25,1.0,1.0,1.0
SVM,3===24,0.25,1.0,1.0,1.0
RF,3===24,0.25,1.0,1.0,1.0
LogReg,3===9,0.25,1.0,1.0,1.0
LSVM,3===9,0.25,1.0,1.0,1.0
SVM,3===9,0.25,1.0,1.0,1.0
RF,3===9,0.25,1.0,1.0,1.0
LogReg,3===4,0.25,0.9375,0.96875,1.0
LSVM,3===4,0.25,0.953125,0.953125,1.0
SVM,3===4,0.25,0.9375,0.96875,1.0
RF,3===4,0.25,0.984375,1.0,1.0
LogReg,3===32,0.25,1.0,1.0,1.0
LSVM,3===32,0.25,1.0,1.0,1.0
SVM,3===32,0.25,1.0,1.0,1.0
RF,3===32,0.25,1.0,1.0,1.0
LogReg,3===2,0.25,1.0,0.9459459459459459,1.0
LSVM,3===2,0.25,1.0,0.972972972972973,1.0
SVM,3===2,0.25,1.0,0.9459459459459459,1.0
RF,3===2,0.25,1.0,1.0,1.0
LogReg,3===23,0.25,0.9777777777777777,0.9777777777777777,1.0
LSVM,3===23,0.25,0.9555555555555556,1.0,1.0
SVM,3===23,0.25,0.9777777777777777,0.9555555555555556,1.0
RF,3===23,0.25,1.0,1.0,1.0
LogReg,4===24,0.25,0.9722222222222222,0.9861111111111112,1.0
LSVM,4===24,0.25,0.9861111111111112,1.0,1.0
SVM,4===24,0.25,1.0,0.9722222222222222,1.0
RF,4===24,0.25,0.9861111111111112,1.0,1.0
LogReg,4===3,0.25,0.9206349206349206,0.9333333333333333,1.0
LSVM,4===3,0.25,0.9523809523809523,0.95,1.0
SVM,4===3,0.25,0.9523809523809523,0.95,1.0
RF,4===3,0.25,1.0,0.9666666666666667,1.0
LogReg,4===9,0.25,1.0,1.0,1.0
LSVM,4===9,0.25,1.0,1.0,1.0
SVM,4===9,0.25,1.0,1.0,1.0
RF,4===9,0.25,1.0,1.0,1.0
LogReg,4===32,0.25,1.0,1.0,1.0
LSVM,4===32,0.25,1.0,1.0,1.0
SVM,4===32,0.25,1.0,1.0,1.0
RF,4===32,0.25,1.0,1.0,1.0
LogReg,4===23,0.25,1.0,1.0,1.0
LSVM,4===23,0.25,1.0,1.0,1.0
SVM,4===23,0.25,1.0,1.0,1.0
RF,4===23,0.25,1.0,1.0,1.0
LogReg,5===46,0.25,0.935064935064935,0.922077922077922,0.875
LSVM,5===46,0.25,0.961038961038961,0.987012987012987,0.921875
SVM,5===46,0.25,0.961038961038961,0.961038961038961,1.0
RF,5===46,0.25,1.0,1.0,1.0
LogReg,5===47,0.25,0.8846153846153846,0.8846153846153846,1.0
LSVM,5===47,0.25,0.9230769230769231,0.9487179487179487,1.0
SVM,5===47,0.25,0.8846153846153846,0.9230769230769231,1.0
RF,5===47,0.25,0.9615384615384616,1.0,1.0
LogReg,5===30,0.25,1.0,0.972972972972973,1.0
LSVM,5===30,0.25,1.0,0.972972972972973,1.0
SVM,5===30,0.25,1.0,0.972972972972973,1.0
RF,5===30,0.25,1.0,0.972972972972973,1.0
LogReg,5===26,0.25,1.0,1.0,1.0
LSVM,5===26,0.25,1.0,1.0,1.0
SVM,5===26,0.25,1.0,1.0,1.0
RF,5===26,0.25,1.0,1.0,1.0
LogReg,5===22,0.25,0.9655172413793104,0.8775510204081632,1.0
LSVM,5===22,0.25,0.9482758620689655,0.9183673469387755,1.0
SVM,5===22,0.25,0.9482758620689655,0.8979591836734694,1.0
RF,5===22,0.25,1.0,0.9795918367346939,1.0
LogReg,5===6,0.25,0.8928571428571429,0.8333333333333334,1.0
LSVM,5===6,0.25,0.8928571428571429,0.8333333333333334,1.0
SVM,5===6,0.25,0.8928571428571429,0.9761904761904762,1.0
RF,5===6,0.25,0.8928571428571429,0.9761904761904762,1.0
LogReg,5===19,0.25,0.96,0.96,0.9868421052631579
LSVM,5===19,0.25,0.9866666666666667,0.9733333333333334,0.9868421052631579
SVM,5===19,0.25,0.9733333333333334,0.9866666666666667,1.0
RF,5===19,0.25,0.9866666666666667,1.0,1.0
LogReg,5===21,0.25,0.9333333333333333,0.75,1.0
LSVM,5===21,0.25,0.9,0.7916666666666666,1.0
SVM,5===21,0.25,0.9666666666666667,0.625,1.0
RF,5===21,0.25,1.0,0.9166666666666666,1.0
LogReg,5===40,0.25,0.935064935064935,0.935064935064935,0.9868421052631579
LSVM,5===40,0.25,0.948051948051948,0.961038961038961,0.9868421052631579
SVM,5===40,0.25,0.961038961038961,0.961038961038961,1.0
RF,5===40,0.25,1.0,1.0,1.0
LogReg,5===31,0.25,1.0,1.0,1.0
LSVM,5===31,0.25,1.0,1.0,1.0
SVM,5===31,0.25,1.0,1.0,1.0
RF,5===31,0.25,1.0,1.0,1.0
LogReg,5===45,0.25,0.85,0.8301886792452831,1.0
LSVM,5===45,0.25,0.9333333333333333,0.8867924528301887,1.0
SVM,5===45,0.25,0.9,0.8113207547169812,1.0
RF,5===45,0.25,0.9833333333333333,0.9811320754716981,1.0
LogReg,5===44,0.25,0.9253731343283582,0.9402985074626866,1.0
LSVM,5===44,0.25,0.9701492537313433,0.9402985074626866,1.0
SVM,5===44,0.25,0.9253731343283582,0.9552238805970149,1.0
RF,5===44,0.25,0.9701492537313433,0.9701492537313433,1.0
LogReg,5===41,0.25,0.9620253164556962,0.9868421052631579,1.0
LSVM,5===41,0.25,0.9620253164556962,0.9868421052631579,1.0
SVM,5===41,0.25,0.9746835443037974,0.9868421052631579,1.0
RF,5===41,0.25,1.0,0.9868421052631579,1.0
LogReg,5===16,0.25,1.0,1.0,1.0
LSVM,5===16,0.25,1.0,1.0,1.0
SVM,5===16,0.25,1.0,1.0,1.0
RF,5===16,0.25,1.0,1.0,1.0
LogReg,5===1,0.25,0.8181818181818182,0.8095238095238095,1.0
LSVM,5===1,0.25,0.8409090909090909,0.8571428571428571,1.0
SVM,5===1,0.25,0.9090909090909091,0.8809523809523809,1.0
RF,5===1,0.25,1.0,0.9761904761904762,1.0
LogReg,5===11,0.25,0.9661016949152542,0.8983050847457628,1.0
LSVM,5===11,0.25,1.0,0.8813559322033898,1.0
SVM,5===11,0.25,0.9491525423728814,0.8983050847457628,1.0
RF,5===11,0.25,1.0,0.9830508474576272,1.0
LogReg,5===34,0.25,0.9342105263157895,0.9605263157894737,0.9285714285714286
LSVM,5===34,0.25,0.9736842105263158,0.9473684210526315,0.9714285714285714
SVM,5===34,0.25,0.9342105263157895,0.9342105263157895,1.0
RF,5===34,0.25,0.9605263157894737,1.0,1.0
LogReg,6===46,0.25,0.9,0.7222222222222222,1.0
LSVM,6===46,0.25,0.9,0.7777777777777778,1.0
SVM,6===46,0.25,0.95,0.6666666666666666,1.0
RF,6===46,0.25,1.0,0.8333333333333334,1.0
LogReg,6===47,0.25,1.0,1.0,1.0
LSVM,6===47,0.25,1.0,1.0,1.0
SVM,6===47,0.25,1.0,1.0,1.0
RF,6===47,0.25,1.0,1.0,1.0
LogReg,6===5,0.25,0.9148936170212766,0.8181818181818182,1.0
LSVM,6===5,0.25,0.9787234042553191,0.8863636363636364,1.0
SVM,6===5,0.25,0.8936170212765957,0.7727272727272727,1.0
RF,6===5,0.25,0.9787234042553191,0.9545454545454546,1.0
LogReg,6===30,0.25,0.8536585365853658,0.6176470588235294,1.0
LSVM,6===30,0.25,0.8536585365853658,0.7647058823529411,1.0
SVM,6===30,0.25,0.8048780487804879,0.7058823529411765,1.0
RF,6===30,0.25,1.0,0.9705882352941176,1.0
LogReg,6===26,0.25,1.0,0.9859154929577465,1.0
LSVM,6===26,0.25,1.0,0.9859154929577465,1.0
SVM,6===26,0.25,1.0,0.9859154929577465,1.0
RF,6===26,0.25,1.0,0.9859154929577465,1.0
LogReg,6===22,0.25,1.0,1.0,1.0
LSVM,6===22,0.25,1.0,1.0,1.0
SVM,6===22,0.25,1.0,1.0,1.0
RF,6===22,0.25,1.0,1.0,1.0
LogReg,6===14,0.25,1.0,1.0,0.987012987012987
LSVM,6===14,0.25,1.0,1.0,1.0
SVM,6===14,0.25,1.0,1.0,0.974025974025974
RF,6===14,0.25,1.0,1.0,1.0
LogReg,6===21,0.25,0.9436619718309859,0.9577464788732394,1.0
LSVM,6===21,0.25,0.9859154929577465,0.9577464788732394,1.0
SVM,6===21,0.25,0.9436619718309859,0.9436619718309859,1.0
RF,6===21,0.25,0.971830985915493,1.0,1.0
LogReg,6===15,0.25,1.0,0.8,1.0
LSVM,6===15,0.25,1.0,1.0,1.0
SVM,6===15,0.25,1.0,0.8666666666666667,1.0
RF,6===15,0.25,1.0,1.0,1.0
LogReg,6===2,0.25,1.0,1.0,1.0
LSVM,6===2,0.25,1.0,1.0,1.0
SVM,6===2,0.25,1.0,1.0,1.0
RF,6===2,0.25,1.0,1.0,1.0
LogReg,6===1,0.25,0.76,0.6190476190476191,1.0
LSVM,6===1,0.25,0.88,0.7142857142857143,1.0
SVM,6===1,0.25,0.8,0.7619047619047619,1.0
RF,6===1,0.25,1.0,0.9523809523809523,1.0
LogReg,6===43,0.25,0.6739130434782609,0.6744186046511628,1.0
LSVM,6===43,0.25,0.7391304347826086,0.7209302325581395,1.0
SVM,6===43,0.25,0.717391304347826,0.7441860465116279,1.0
RF,6===43,0.25,0.8695652173913043,0.9534883720930233,1.0
LogReg,6===33,0.25,0.8163265306122449,0.7575757575757576,1.0
LSVM,6===33,0.25,0.8163265306122449,0.7575757575757576,1.0
SVM,6===33,0.25,0.8571428571428571,0.7272727272727273,1.0
RF,6===33,0.25,0.9183673469387755,0.8484848484848485,1.0
LogReg,6===13,0.25,1.0,1.0,1.0
LSVM,6===13,0.25,1.0,1.0,1.0
SVM,6===13,0.25,1.0,1.0,1.0
RF,6===13,0.25,1.0,1.0,1.0
LogReg,7===18,0.25,1.0,1.0,0.987012987012987
LSVM,7===18,0.25,1.0,1.0,1.0
SVM,7===18,0.25,1.0,1.0,1.0
RF,7===18,0.25,1.0,1.0,1.0
LogReg,7===12,0.25,0.9545454545454546,0.8695652173913043,1.0
LSVM,7===12,0.25,1.0,0.8695652173913043,1.0
SVM,7===12,0.25,0.9545454545454546,0.8695652173913043,1.0
RF,7===12,0.25,1.0,0.9130434782608695,1.0
LogReg,7===48,0.25,1.0,1.0,1.0
LSVM,7===48,0.25,1.0,1.0,1.0
SVM,7===48,0.25,1.0,1.0,1.0
RF,7===48,0.25,1.0,1.0,1.0
LogReg,7===35,0.25,1.0,1.0,1.0
LSVM,7===35,0.25,1.0,1.0,1.0
SVM,7===35,0.25,1.0,1.0,1.0
RF,7===35,0.25,1.0,1.0,1.0
LogReg,7===40,0.25,0.9310344827586207,0.48148148148148145,1.0
LSVM,7===40,0.25,0.9310344827586207,0.7407407407407407,1.0
SVM,7===40,0.25,0.9310344827586207,0.5185185185185185,1.0
RF,7===40,0.25,1.0,1.0,1.0
LogReg,7===44,0.25,0.9090909090909091,0.813953488372093,1.0
LSVM,7===44,0.25,0.9090909090909091,0.9069767441860465,1.0
SVM,7===44,0.25,0.8909090909090909,0.8837209302325582,1.0
RF,7===44,0.25,0.9454545454545454,0.9767441860465116,1.0
LogReg,7===41,0.25,0.75,0.6428571428571429,1.0
LSVM,7===41,0.25,0.75,0.9285714285714286,1.0
SVM,7===41,0.25,0.8125,0.5714285714285714,1.0
RF,7===41,0.25,0.9375,1.0,1.0
LogReg,7===11,0.25,0.9148936170212766,0.775,1.0
LSVM,7===11,0.25,0.9361702127659575,0.85,1.0
SVM,7===11,0.25,0.9148936170212766,0.775,1.0
RF,7===11,0.25,1.0,0.925,1.0
LogReg,7===17,0.25,0.9125,0.925,0.921875
LSVM,7===17,0.25,0.9625,0.9625,0.921875
SVM,7===17,0.25,0.9375,0.925,0.984375
RF,7===17,0.25,0.975,1.0,1.0
LogReg,7===0,0.25,0.9473684210526315,0.9605263157894737,1.0
LSVM,7===0,0.25,0.9736842105263158,0.9342105263157895,1.0
SVM,7===0,0.25,0.9736842105263158,0.9868421052631579,1.0
RF,7===0,0.25,0.9868421052631579,0.9736842105263158,1.0
LogReg,7===20,0.25,0.9743589743589743,0.9743589743589743,1.0
